Core Table,Field,Alt Description,Type,Max Size,Unique?,Mandatory,Ref Field,Link Ref,Link Match,Default If Blank
userdefined_list_items,item,List Item Definition,S,50,Y,Y,,,,
userdefined_list_items,order,Sequence,S,50,N,N,,,,1
